stage,config,max_depth,learning_rate,reg_lambda,gamma,min_child_weight,rounds,n_races,n_runners,model_race_log_loss,market_race_log_loss,delta_vs_market,correction_sd,seconds
depth,max_depth=5,5,0.0025,10.0,0.2,20,400,796,9643,2.0198665505922264,2.0240661731457346,-0.004199622553508142,0.11814462460453445,551.5
depth,max_depth=6,6,0.0025,10.0,0.2,20,400,796,9643,2.0198754869559803,2.0240661731457346,-0.004190686189754267,0.12269069119919099,552.0
depth,max_depth=7,7,0.0025,10.0,0.2,20,400,796,9643,2.0198564010242883,2.0240661731457346,-0.0042097721214462425,0.12575298281776012,552.6
depth,max_depth=8,8,0.0025,10.0,0.2,20,400,796,9643,2.020177318458217,2.0240661731457346,-0.00388885468751754,0.12771916078555864,553.4
regularisation,baseline,5,0.0025,10.0,0.2,20,400,796,9643,2.0198665505922264,2.0240661731457346,-0.004199622553508142,0.11814462460453445,620.6
regularisation,reg_lambda=5.0,5,0.0025,5.0,0.2,20,400,796,9643,2.0202638211514916,2.0240661731457346,-0.0038023519942429473,0.12172197222774178,622.4
regularisation,reg_lambda=2.0,5,0.0025,2.0,0.2,20,400,796,9643,2.0205084216286835,2.0240661731457346,-0.0035577515170510665,0.125026719407145,622.7
regularisation,gamma=0.0,5,0.0025,10.0,0.0,20,400,796,9643,2.01988064894108,2.0240661731457346,-0.004185524204654456,0.11808307895461549,620.9
regularisation,min_child_weight=10,5,0.0025,10.0,0.2,10,400,796,9643,2.01923035307338,2.0240661731457346,-0.004835820072354391,0.12229187651852651,622.2
step,baseline,5,0.0025,10.0,0.2,20,400,796,9643,2.0198665505922264,2.0240661731457346,-0.004199622553508142,0.11814462460453445,563.7
step,rounds=600,5,0.0025,10.0,0.2,20,600,796,9643,2.020055185222679,2.0240661731457346,-0.004010987923055431,0.1436182664409172,779.9
step,rounds=800,5,0.0025,10.0,0.2,20,800,796,9643,2.0204707631341337,2.0240661731457346,-0.003595410011600908,0.1641142323060339,989.7
step,"learning_rate=0.004, rounds=400",5,0.004,10.0,0.2,20,400,796,9643,2.0200182483728555,2.0240661731457346,-0.004047924772879075,0.14752462283393544,564.7
